,Index,Année,insee_region,Production hydraulique renouvelable (GWh),Production bioénergie renouvelable (GWh),Production éolienne renouvelable (GWh),Production solaire renouvelable (GWh),Region,region_code
0,0,2011,27,639.3,81.6,154.1,58.3,Bourgogne-Franche-Comté,27
1,1,2011,32,3.7,327.9,2473.8,47.5,Hauts-de-France,32
2,2,2011,44,6519.9,237.8,2685.8,171.9,Grand-Est,44
3,3,2011,84,19358.3,253.1,606.4,244.3,Auvergne-Rhône-Alpes,84
4,4,2011,76,7740.1,439.4,1815.1,447.1,Occitanie,76
5,5,2011,75,2278.9,943.3,346.8,332.9,Nouvelle-Aquitaine,75
6,6,2011,52,11.3,133.6,703.6,187.5,Pays de la Loire,52
7,7,2011,94,294.0,8.2,24.2,25.1,Corse,94
8,8,2011,93,7915.7,288.5,92.5,338.7,Provence-Alpes-Côte d'Azur,93
9,9,2011,53,509.8,74.6,1112.9,95.4,Bretagne,53
10,10,2011,24,56.3,132.1,1216.4,53.3,Centre-Val de Loire,24
11,11,2011,11,44.9,677.4,13.9,27.5,Ile-de-France,11
12,12,2011,28,111.0,259.7,829.5,39.1,Normandie,28
13,0,2012,84,26869.1,299.0,777.9,438.2,Auvergne-Rhône-Alpes,84
14,1,2012,52,16.0,172.1,885.0,277.8,Pays de la Loire,52
15,2,2012,75,3225.0,970.2,648.9,752.2,Nouvelle-Aquitaine,75
16,3,2012,93,9079.4,321.8,116.5,674.6,Provence-Alpes-Côte d'Azur,93
17,4,2012,76,8921.1,468.6,2072.5,894.6,Occitanie,76
18,5,2012,32,13.0,358.8,2764.3,104.4,Hauts-de-France,32
19,6,2012,28,152.0,265.9,948.8,83.7,Normandie,28
20,7,2012,11,56.0,693.6,54.5,53.7,Ile-de-France,11
21,8,2012,44,8743.4,252.6,3517.4,319.8,Grand-Est,44
22,9,2012,53,510.7,86.1,1286.0,138.3,Bretagne,53
23,10,2012,24,118.0,142.8,1560.0,129.1,Centre-Val de Loire,24
24,11,2012,27,1050.4,89.7,271.0,102.2,Bourgogne-Franche-Comté,27
25,12,2012,94,336.0,7.8,27.9,101.3,Corse,94
26,0,2013,44,8624.5,430.3,3688.5,409.6,Grand-Est,44
27,1,2013,93,12394.3,332.1,116.0,813.5,Provence-Alpes-Côte d'Azur,93
28,2,2013,94,598.0,11.4,20.9,113.4,Corse,94
29,3,2013,32,14.5,440.6,3262.5,106.8,Hauts-de-France,32
30,4,2013,75,4568.3,1065.9,714.1,830.0,Nouvelle-Aquitaine,75
31,5,2013,24,171.4,233.6,1513.2,166.4,Centre-Val de Loire,24
32,6,2013,11,35.2,786.3,38.4,58.2,Ile-de-France,11
33,7,2013,28,134.9,309.9,968.8,92.4,Normandie,28
34,8,2013,84,30409.8,471.8,744.3,472.7,Auvergne-Rhône-Alpes,84
35,9,2013,53,479.8,159.1,1405.8,153.0,Bretagne,53
36,10,2013,76,11961.5,508.1,2197.1,989.8,Occitanie,76
37,11,2013,52,13.4,266.4,983.5,303.7,Pays de la Loire,52
38,12,2013,27,1062.8,91.9,288.3,150.4,Bourgogne-Franche-Comté,27
39,0,2014,53,548.6,210.5,1396.4,177.4,Bretagne,53
40,1,2014,32,14.6,543.2,3642.8,117.6,Hauts-de-France,32
41,2,2014,27,825.8,110.0,374.5,192.6,Bourgogne-Franche-Comté,27
42,3,2014,76,11305.0,498.7,2191.0,1304.8,Occitanie,76
43,4,2014,93,11053.9,380.8,105.9,1014.8,Provence-Alpes-Côte d'Azur,93
44,5,2014,44,7882.0,434.2,3975.7,458.3,Grand-Est,44
45,6,2014,94,493.3,11.4,31.3,123.6,Corse,94
46,7,2014,75,4112.3,1086.8,820.4,1171.7,Nouvelle-Aquitaine,75
47,8,2014,84,25942.2,536.1,764.4,636.3,Auvergne-Rhône-Alpes,84
48,9,2014,24,138.6,285.1,1626.3,198.0,Centre-Val de Loire,24
49,10,2014,11,52.2,818.5,37.9,66.0,Ile-de-France,11
50,11,2014,28,155.6,301.6,1046.5,112.5,Normandie,28
51,12,2014,52,23.6,281.9,1072.3,368.4,Pays de la Loire,52
52,0,2015,52,18.4,277.5,1223.4,421.8,Pays de la Loire,52
53,1,2015,27,727.6,122.4,695.4,219.6,Bourgogne-Franche-Comté,27
54,2,2015,94,347.4,10.2,24.2,147.6,Corse,94
55,3,2015,44,7176.9,512.4,5165.7,491.7,Grand-Est,44
56,4,2015,84,23723.6,591.8,799.0,784.3,Auvergne-Rhône-Alpes,84
57,5,2015,11,55.2,709.0,52.7,71.9,Ile-de-France,11
58,6,2015,32,13.2,713.9,4966.2,126.0,Hauts-de-France,32
59,7,2015,53,531.9,229.9,1651.0,187.3,Bretagne,53
60,8,2015,76,9424.0,520.9,2318.0,1603.6,Occitanie,76
61,9,2015,28,117.0,313.9,1259.7,121.6,Normandie,28
62,10,2015,93,8994.1,435.0,105.4,1206.3,Provence-Alpes-Côte d'Azur,93
63,11,2015,75,3082.2,1298.7,924.0,1817.0,Nouvelle-Aquitaine,75
64,12,2015,24,99.2,322.0,1927.6,234.3,Centre-Val de Loire,24
65,0,2016,44,8182.5,529.1,4922.9,468.3,Grand-Est,44
66,1,2016,28,130.4,304.4,1186.3,126.6,Normandie,28
67,2,2016,52,18.7,278.0,1261.1,443.5,Pays de la Loire,52
68,3,2016,94,471.3,9.2,32.9,156.6,Corse,94
69,4,2016,32,15.5,749.5,4857.7,128.7,Hauts-de-France,32
70,5,2016,11,58.0,795.3,60.9,70.4,Ile-de-France,11
71,6,2016,75,3940.4,1341.5,920.1,2219.7,Nouvelle-Aquitaine,75
72,7,2016,76,9949.3,560.3,2641.0,1834.0,Occitanie,76
73,8,2016,27,936.6,126.2,778.6,216.6,Bourgogne-Franche-Comté,27
74,9,2016,53,547.4,244.8,1477.2,197.9,Bretagne,53
75,10,2016,24,128.2,325.1,1622.9,243.5,Centre-Val de Loire,24
76,11,2016,93,9130.5,561.6,108.6,1354.8,Provence-Alpes-Côte d'Azur,93
77,12,2016,84,25719.7,678.6,853.7,810.6,Auvergne-Rhône-Alpes,84
