Date,Open,High,Low,Close,Volume
2016-11-28,36.78,37.46,36.49,36.51,4513842
2016-11-29,35.67,36.82,35.14,36.37,4623933
2016-11-30,38.52,38.6,34.86,35.18,8806904
2016-12-01,36.4,37.51,36.12,36.59,7328980
2016-12-02,36.34,36.66,35.63,36.36,3669015
2016-12-05,37.2,39.0,37.17,38.42,5939163
2016-12-06,37.93,38.72,37.71,38.39,2886053
2016-12-07,38.77,39.64,37.83,38.22,3541155
2016-12-08,38.54,38.75,37.32,38.36,3412952
2016-12-09,38.79,39.21,38.06,38.78,4043047
2016-12-12,39.56,39.64,35.68,35.97,6334476
2016-12-13,36.41,36.89,35.76,36.29,4687535
2016-12-14,36.11,36.66,34.78,34.85,4208996
2016-12-15,34.56,36.02,34.06,34.66,6392665
2016-12-16,34.31,34.52,33.75,34.29,8813321
2016-12-19,34.38,34.7,33.61,33.97,4900054
2016-12-20,33.77,33.99,33.01,33.24,4092818
2016-12-21,34.24,34.59,33.7,34.21,4224392
2016-12-22,34.17,34.3,33.63,34.22,3538508
2016-12-23,34.25,34.92,34.07,34.7,2140563
2016-12-27,34.87,35.14,34.5,34.77,2798868
2016-12-28,34.76,35.05,33.98,34.32,4115285
2016-12-29,34.23,34.77,33.87,34.26,3033960
2016-12-30,34.26,34.81,34.09,34.36,2965776
2017-01-03,33.61,34.42,31.54,32.6,10678281
2017-01-04,32.44,33.64,32.44,33.55,4448638
2017-01-05,33.79,34.43,33.44,34.2,5195842
2017-01-06,34.28,34.52,33.73,34.23,2500387
2017-01-09,33.8,33.88,32.61,32.76,4131107
2017-01-10,33.28,33.5,32.71,33.36,3359930
2017-01-11,33.55,33.82,33.05,33.53,2583077
2017-01-12,33.88,34.59,33.56,33.99,3769608
2017-01-13,33.82,34.17,33.42,33.64,2922309
2017-01-17,33.93,33.93,33.06,33.76,4122022
2017-01-18,33.1,34.75,33.05,34.35,3135857
2017-01-19,34.33,34.86,34.1,34.47,3719582
2017-01-20,34.89,34.91,34.3,34.54,3334429
2017-01-23,34.5,34.8,34.01,34.14,2566585
2017-01-24,34.35,34.79,34.01,34.06,5581068
2017-01-25,34.31,34.32,33.72,33.83,3511471
2017-01-26,34.12,34.45,33.68,34.44,4387731
2017-01-27,34.95,36.4,34.95,35.71,6948302
2017-01-30,35.64,35.64,32.89,33.34,5939385
